class_name            ,class_classification ,class_similarity
FloatingText          ,implementation       ,      0.740847
Char                  ,implementation       ,      0.76702607
Swing                 ,implementation       ,      0.72105193
Roots                 ,implementation       ,      0.74531245
Layer                 ,implementation       ,      0.7760349
GLog                  ,implementation       ,      0.7044723
Buff                  ,implementation       ,      0.72175854
Combo                 ,implementation       ,      0.7648568
Bundle                ,implementation       ,      0.76163244
Multiplicity          ,implementation       ,      0.75078046
MobTitle              ,implementation       ,      0.71576315
Font                  ,implementation       ,      0.7551364
Bounce                ,implementation       ,      0.75543296
Potential             ,implementation       ,      0.7621143
Health                ,implementation       ,      0.7562407
Item                  ,implementation       ,      0.72848403
IronKey               ,implementation       ,      0.7138343
Instability           ,implementation       ,      0.7433312
Highlighter           ,implementation       ,      0.732611
Charm                 ,implementation       ,      0.69005895
Piercing              ,implementation       ,      0.72357035
Script                ,implementation       ,      0.74210143
Armor                 ,implementation       ,      0.7376101
Glyph                 ,implementation       ,      0.7258085
Seed                  ,implementation       ,      0.74257517
WndInfoItem           ,implementation       ,      0.72794664
CharSprite            ,implementation       ,      0.7325327
Group                 ,implementation       ,      0.7272125
Enchantment           ,implementation       ,      0.7350595
Uniform               ,implementation       ,      0.73860943
Weakness              ,implementation       ,      0.7167092
LineSplitter          ,implementation       ,      0.7252977
Shrinking             ,implementation       ,      0.7221562
SparseArray           ,implementation       ,      0.71715605
Displacement          ,implementation       ,      0.7227435
Entanglement          ,implementation       ,      0.7157402
Hero                  ,implementation       ,      0.7302961
AntiEntropy           ,implementation       ,      0.7151679
Slow                  ,implementation       ,      0.73037195
BArray                ,implementation       ,      0.70813495
Affection             ,implementation       ,      0.69737875
Paralysis             ,implementation       ,      0.71422577
Frost                 ,implementation       ,      0.7000383
Burning               ,implementation       ,      0.71713495
Javelin               ,implementation       ,      0.7095935
MeleeWeapon           ,implementation       ,      0.721938
Bestiary              ,implementation       ,      0.70415384
WandOfTelekinesis     ,implementation       ,      0.68540746
GameLog               ,implementation       ,      0.71057403
Hunger                ,implementation       ,      0.71806437
Wound                 ,implementation       ,      0.7167705
ItemIterator          ,implementation       ,      0.7199603
Stench                ,implementation       ,      0.71166867
Stylus                ,implementation       ,      0.7370406
Potion                ,implementation       ,      0.6821987
Shadows               ,implementation       ,      0.7088151
IconTitle             ,implementation       ,      0.7038897
PotionOfPurity        ,implementation       ,      0.700806
Point                 ,implementation       ,      0.7083863
Barkskin              ,implementation       ,      0.72322536
Quest                 ,implementation       ,      0.68220234
WndResurrect          ,implementation       ,      0.6962172
Info                  ,implementation       ,      0.7348535
Light                 ,implementation       ,      0.67972994
Fire                  ,implementation       ,      0.6962218
Actor                 ,implementation       ,      0.7073978
Program               ,implementation       ,      0.71467537
Speck                 ,implementation       ,      0.6677642
ItemSlot              ,implementation       ,      0.69847715
Sheep                 ,implementation       ,      0.72988886
Skeleton              ,implementation       ,      0.70488834
Poison                ,implementation       ,      0.707845
Scroll                ,implementation       ,      0.7341414
WndWandmaker          ,implementation       ,      0.70005363
CheckBox              ,implementation       ,      0.70568204
Random                ,implementation       ,      0.70632863
Touch                 ,implementation       ,      0.7096704
Fury                  ,implementation       ,      0.70950603
Invisibility          ,implementation       ,      0.70356476
Bones                 ,implementation       ,      0.69089377
EquipableItem         ,implementation       ,      0.7040503
LloydsBeacon          ,implementation       ,      0.6922017
BuffsTab              ,implementation       ,      0.71102244
Ankh                  ,implementation       ,      0.66348916
Shield                ,implementation       ,      0.7018551
Thief                 ,implementation       ,      0.69593805
Patch                 ,implementation       ,      0.6946298
Amok                  ,implementation       ,      0.6466995
DeferedDamage         ,implementation       ,      0.69047743
Brute                 ,implementation       ,      0.6953249
WndStory              ,implementation       ,      0.6871424
TomeOfMastery         ,implementation       ,      0.68071806
Chasm                 ,implementation       ,      0.6740267
Larva                 ,implementation       ,      0.71027917
Dewdrop               ,implementation       ,      0.68165135
Boomerang             ,implementation       ,      0.69779205
Signal                ,implementation       ,      0.66781616
Quad                  ,implementation       ,      0.68966556
AboutScene            ,implementation       ,      0.68086165
ScrollOfTeleportation ,implementation       ,      0.7014166
KindOfWeapon          ,implementation       ,      0.69503796
Gold                  ,implementation       ,      0.6981237
TenguSprite           ,implementation       ,      0.69857025
Tweener               ,implementation       ,      0.6886538
WndTradeItem          ,implementation       ,      0.6880692
ScrollOfRemoveCurse   ,implementation       ,      0.67154455
CellEmitter           ,implementation       ,      0.6456615
WndImp                ,implementation       ,      0.6472695
QuickSlot             ,implementation       ,      0.6960807
SmartTexture          ,implementation       ,      0.6856308
WaterOfHealth         ,implementation       ,      0.69066465
Component             ,implementation       ,      0.6902313
Levitation            ,implementation       ,      0.6709199
Death                 ,implementation       ,      0.711837
DwarfToken            ,implementation       ,      0.66036487
Record                ,implementation       ,      0.6975038
BlobEmitter           ,implementation       ,      0.643481
Cripple               ,implementation       ,      0.6596854
Power                 ,implementation       ,      0.6795343
Tag                   ,implementation       ,      0.6833225
ItemStatusHandler     ,implementation       ,      0.6914841
PointF                ,implementation       ,      0.7783161
IntroScene            ,implementation       ,      0.67875123
NPC                   ,implementation       ,      0.69060856
Horror                ,implementation       ,      0.6835344
AmuletScene           ,implementation       ,      0.68067575
FetidRat              ,implementation       ,      0.6773516
Generator             ,implementation       ,      0.68667495
ClassArmor            ,implementation       ,      0.68856126
Resistance            ,implementation       ,      0.68225765
RectF                 ,implementation       ,      0.6831629
Matrix                ,implementation       ,      0.6671111
Toast                 ,implementation       ,      0.66661036
Senior                ,implementation       ,      0.6861044
Tamahawk              ,implementation       ,      0.703266
Eye                   ,implementation       ,      0.68442744
Game                  ,implementation       ,      0.68447536
Flow                  ,implementation       ,      0.67880213
Rect                  ,implementation       ,      0.66650385
Chrome                ,implementation       ,      0.67226696
WandOfBlink           ,implementation       ,      0.6444069
Luck                  ,implementation       ,      0.67690456
Web                   ,implementation       ,      0.70875204
Mace                  ,implementation       ,      0.67415375
ColorMath             ,implementation       ,      0.6523869
SnipersMark           ,implementation       ,      0.6811353
Effect                ,implementation       ,      0.6654701
ShortSword            ,implementation       ,      0.6641376
Leech                 ,implementation       ,      0.65831023
Ooze                  ,implementation       ,      0.70130026
Path                  ,implementation       ,      0.6820239
ImpShopkeeper         ,implementation       ,      0.6828625
Goo                   ,implementation       ,      0.67733026
ScrollOfUpgrade       ,implementation       ,      0.6599811
CurareDart            ,implementation       ,      0.67941207
Renderbuffer          ,implementation       ,      0.6408796
RatKing               ,implementation       ,      0.67692566
Electricity           ,implementation       ,      0.6598387
Monk                  ,implementation       ,      0.67658573
WaterOfAwareness      ,implementation       ,      0.67348856
ScrollOfLullaby       ,implementation       ,      0.65892243
PassagePainter        ,implementation       ,      0.68810964
Albino                ,implementation       ,      0.6977841
Pickaxe               ,implementation       ,      0.66053236
Shielded              ,implementation       ,      0.6804027
Food                  ,implementation       ,      0.6645415
Dart                  ,implementation       ,      0.6674051
ListItem              ,implementation       ,      0.6649605
SkeletonKey           ,implementation       ,      0.66502476
GrippingTrap          ,implementation       ,      0.66251254
MailArmor             ,implementation       ,      0.6821605
Spinner               ,implementation       ,      0.64334947
Bleeding              ,implementation       ,      0.6676289
Swarm                 ,implementation       ,      0.6638771
MageArmor             ,implementation       ,      0.6650486
Bat                   ,implementation       ,      0.68494546
BlacksmithSprite      ,implementation       ,      0.6560497
SpellSprite           ,implementation       ,      0.6726639
Texture               ,implementation       ,      0.64175904
WndSadGhost           ,implementation       ,      0.65688026
DewVial               ,implementation       ,      0.64764786
Acidic                ,implementation       ,      0.67920196
ColorBlock            ,implementation       ,      0.66931367
DriedRose             ,implementation       ,      0.6685897
Blob                  ,implementation       ,      0.65029097
WandOfAvalanche       ,implementation       ,      0.70650786
Painter               ,implementation       ,      0.7170732
PotionOfInvisibility  ,implementation       ,      0.669099
PotionOfToxicGas      ,implementation       ,      0.67518616
PotionOfLiquidFlame   ,implementation       ,      0.6746989
Statistics            ,implementation       ,      0.67483944
WebParticle           ,implementation       ,      0.66641665
MysteryMeat           ,implementation       ,      0.6585609
PotionOfMight         ,implementation       ,      0.6428071
ArmorKit              ,implementation       ,      0.672467
SummoningTrap         ,implementation       ,      0.65497476
ScrollOfPsionicBlast  ,implementation       ,      0.69289744
RingBuff              ,implementation       ,      0.66230154
Spear                 ,implementation       ,      0.65719825
Sword                 ,implementation       ,      0.6891153
PosTweener            ,implementation       ,      0.6940826
FireTrap              ,implementation       ,      0.66394794
GoldIndicator         ,implementation       ,      0.665933
Metabolism            ,implementation       ,      0.67251104
Effects               ,implementation       ,      0.6670339
ScrollOfMagicMapping  ,implementation       ,      0.6586072
PotionOfFrost         ,implementation       ,      0.65664387
ScaleTweener          ,implementation       ,      0.67300504
PoisonTrap            ,implementation       ,      0.66906095
IncendiaryDart        ,implementation       ,      0.66765755
Shader                ,implementation       ,      0.6634507
AlchemyPot            ,implementation       ,      0.6469895
Dagger                ,implementation       ,      0.6540941
DashboardItem         ,implementation       ,      0.6377715
Terror                ,implementation       ,      0.6562209
Banner                ,implementation       ,      0.72795445
Lightning             ,implementation       ,      0.6952317
Heap                  ,implementation       ,      0.6604241
MissileWeapon         ,implementation       ,      0.6464775
RedButton             ,implementation       ,      0.6501901
ScrollOfChallenge     ,implementation       ,      0.6663935
ParalyticTrap         ,implementation       ,      0.66100633
HealthIndicator       ,implementation       ,      0.6525513
PotionOfStrength      ,implementation       ,      0.639961
IceBlock              ,implementation       ,      0.63258636
BadgesScene           ,implementation       ,      0.6468647
PixelDungeon          ,implementation       ,      0.67615545
Blindness             ,implementation       ,      0.64373785
GoldenKey             ,implementation       ,      0.6558728
FetidRatSprite        ,implementation       ,      0.6527481
AlphaTweener          ,implementation       ,      0.6504688
PickedUpItem          ,implementation       ,      0.6399588
Crab                  ,implementation       ,      0.65686464
GasesImmunity         ,implementation       ,      0.65724003
ClothArmor            ,implementation       ,      0.6713899
Alchemy               ,implementation       ,      0.6550761
Amulet                ,implementation       ,      0.6621982
StandardPainter       ,implementation       ,      0.6476574
RegularLevel          ,implementation       ,      0.65743935
LabeledTab            ,implementation       ,      0.6546298
Gnoll                 ,implementation       ,      0.6485578
WandOfRegrowth        ,implementation       ,      0.6798842
SkinnedBlock          ,implementation       ,      0.6589976
Detection             ,implementation       ,      0.655779
ElmoParticle          ,implementation       ,      0.67488956
Wind                  ,implementation       ,      0.7323032
WaterOfTransmutation  ,implementation       ,      0.65560687
WandOfAmok            ,implementation       ,      0.653718
LeatherArmor          ,implementation       ,      0.6666936
Key                   ,implementation       ,      0.65057003
Button                ,implementation       ,      0.6541205
ColdParticle          ,implementation       ,      0.65338695
Framebuffer           ,implementation       ,      0.6271006
TouchArea             ,implementation       ,      0.66014445
PotionOfParalyticGas  ,implementation       ,      0.6503149
ImpSprite             ,implementation       ,      0.6551066
ElementalSprite       ,implementation       ,      0.64315367
Haste                 ,implementation       ,      0.6460376
Door                  ,implementation       ,      0.6611601
Image                 ,implementation       ,      0.65586615
Rejuvenation          ,implementation       ,      0.6794366
Pasty                 ,implementation       ,      0.647701
Factory               ,implementation       ,      0.69063574
Elemental             ,implementation       ,      0.6498388
GameButton            ,implementation       ,      0.6577118
Shaman                ,implementation       ,      0.6843759
Charger               ,implementation       ,      0.6485605
Animation             ,implementation       ,      0.6535734
StatusPane            ,implementation       ,      0.65528584
WandHolster           ,implementation       ,      0.6507504
Attribute             ,implementation       ,      0.6273363
WarriorArmor          ,implementation       ,      0.6813225
SplashFactory         ,implementation       ,      0.6606127
Longsword             ,implementation       ,      0.63758415
ToxicTrap             ,implementation       ,      0.6291912
PotionOfLevitation    ,implementation       ,      0.6339618
BurningFistSprite     ,implementation       ,      0.6571941
ChargrilledMeat       ,implementation       ,      0.6421565
ShopPainter           ,implementation       ,      0.6587498
InterlevelScene       ,implementation       ,      0.6450753
WandOfLightning       ,implementation       ,      0.66643417
Undead                ,implementation       ,      0.6420436
NinePatch             ,implementation       ,      0.66416496
Flare                 ,implementation       ,      0.7079107
DarkGold              ,implementation       ,      0.6453515
Knuckles              ,implementation       ,      0.62261635
Rat                   ,implementation       ,      0.6202121
ItemButton            ,implementation       ,      0.62885976
WandOfPoison          ,implementation       ,      0.63375497
NoosaScript           ,implementation       ,      0.6083668
BannerSprites         ,implementation       ,      0.6442689
RatSkull              ,implementation       ,      0.64531535
InventoryScroll       ,implementation       ,      0.64981425
Sparkle               ,implementation       ,      0.640565
Flame                 ,implementation       ,      0.62641037
SeedPouch             ,implementation       ,      0.6415129
Tengu                 ,implementation       ,      0.64671516
HighGrass             ,implementation       ,      0.6433952
Graph                 ,implementation       ,      0.6381128
HtmlLauncher          ,implementation       ,      0.64662457
SeniorSprite          ,implementation       ,      0.6387622
Regrowth              ,implementation       ,      0.6859609
ParalyticGas          ,implementation       ,      0.6428375
Level                 ,implementation       ,      0.63301927
Atlas                 ,implementation       ,      0.6529455
MindVision            ,implementation       ,      0.6257754
ScrollOfRecharging    ,implementation       ,      0.64111155
Accuracy              ,implementation       ,      0.6603509
Delayer               ,implementation       ,      0.675426
Glaive                ,implementation       ,      0.62981534
Obstacles             ,implementation       ,      0.6418306
Wraith                ,implementation       ,      0.64200604
Ballistica            ,implementation       ,      0.64222753
GameScene             ,implementation       ,      0.6384785
ScrollOfWeaponUpgrade ,implementation       ,      0.6290168
WndSettings           ,implementation       ,      0.6363515
ShadowParticle        ,implementation       ,      0.63976395
AttackIndicator       ,implementation       ,      0.6407455
FrozenCarpaccio       ,implementation       ,      0.6337598
Golem                 ,implementation       ,      0.6626854
MissileSprite         ,implementation       ,      0.6855623
DeadEndLevel          ,implementation       ,      0.6371908
Quarterstaff          ,implementation       ,      0.62132394
BuffIndicator         ,implementation       ,      0.63072073
DangerIndicator       ,implementation       ,      0.6117389
ScrollOfTerror        ,implementation       ,      0.62976015
HeroSprite            ,implementation       ,      0.59492487
MirrorSprite          ,implementation       ,      0.65936434
WandOfTeleportation   ,implementation       ,      0.60678196
PlateArmor            ,implementation       ,      0.6322186
Statue                ,implementation       ,      0.6262664
Piranha               ,implementation       ,      0.63016367
Thorns                ,implementation       ,      0.6389777
Evasion               ,implementation       ,      0.6292994
WandOfMagicMissile    ,implementation       ,      0.65212226
WellWater             ,implementation       ,      0.6345006
Archs                 ,implementation       ,      0.622614
PrefsButton           ,implementation       ,      0.6336454
Visual                ,implementation       ,      0.6351749
Ripple                ,implementation       ,      0.6240549
