list_of_given_concepts,concepts_suggested_by_llm,closest_class,cosine_similarity,class_classification_similarity_based,llm_auto_classification,ll_auto_eval_score
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextFormatter] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), trim(String)]",FloatingText,0.740847,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTools] with properties: [CHARS] and behaviors: [lower(String), replace(String, String, String), substring(String, int, int)]",Char,0.76702607,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [SYMBOLS] and behaviors: [capitalize(String), format(String, Object), definite(String)]",Swing,0.72105193,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTools] with properties: [CHARACTERS] and behaviors: [concatenate(String, String), replace(String, String, String), split(String, String)]",Roots,0.74531245,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), format(String, Object), substring(String, int, int)]",Layer,0.7760349,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Converters] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), format(String, Object), pluralize(String)]",GLog,0.7044723,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTransformers] with properties: [CHARS] and behaviors: [toLowerCase(String), upperCase(String), pad(String, Object)]",Buff,0.72175854,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), reverse(String)]",Combo,0.7648568,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), concatenate(String, String), contains(String)]",Bundle,0.76163244,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), truncate(String)]",Multiplicity,0.75078046,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Modifiers] with properties: [ADJECTIVES] and behaviors: [pluralize(String), suffix(String, Object), prefix(String)]",MobTitle,0.71576315,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatter] with properties: [STYLES] and behaviors: [format(String, Object), applyStyle(String), getStyle(String)]",Font,0.7551364,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",Bounce,0.75543296,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Chars] with properties: [ALPHABETS] and behaviors: [uppercase(String), combine(String, String), repeat(Integer, String)]",Potential,0.7621143,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextUtils] with properties: [CHARACTERS] and behaviors: [toLower(String), replace(String, String), split(String, String)]",Health,0.7562407,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), trim(String)]",Item,0.72848403,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [REGEX] and behaviors: [match(String), extract(String, Object), normalize(String)]",IronKey,0.7138343,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), repeat(String, int)]",Instability,0.7433312,implementation,,
