class_name,class_classification,class_similarity,llm_evaluation
CurrentTransaction,implementation,0.56732094,"classification : Domain class, score: 90"
SavingsAccount,domain,0.6830701,"classification : domain class, score: 80"
CurrentAccount,implementation,0.52155674,"classification : Domain class, score: 90"
TransactionServiceImpl,implementation,0.575673,"Based on the given elements, transaction, service, impl, I would classify this class as:

classification : implementation class, score: 80"
Application,implementation,0.51363015,"classification : Domain class, score: 80"
AccountServiceImpl,implementation,0.5931055,"classification : domain class, score: 80"
AccountController,implementation,0.5236835,"Classification : Domain class, score: 80"
TransferController,implementation,0.51739275,"classification : Domain class, score: 80"
Recipient,implementation,0.46391678,"classification : Domain class, score: 80"
User,implementation,0.51838756,"classification : Domain class, score: 90"
Role,implementation,0.459225,"classification : Domain class, score: 80"
Authority,implementation,0.4972979,"classification : Domain class, score: 80"
AdminServiceImpl,implementation,0.41398132,"classification : implementation class, score: 80"
ApplicationTests,implementation,0.45343244,"classification : domain class, score: 80"
AuthorityTest,implementation,0.45407343,"classification : domain class, score: 80"
UserServiceImpl,implementation,0.3802922,"classification : domain class, score: 80"
HomeController,implementation,0.37745568,"classification : implementation class, score: 80"
RequestFilter,implementation,0.4523403,"classification : implementation class, score: 80"
SecurityConfig,implementation,0.3692063,"classification : domain class, score: 80"
UserRole,implementation,0.39752412,"classification : Domain class, score: 80"
UserController,implementation,0.39993247,"classification : Domain class, score: 90"
AdminController,implementation,0.33531183,"classification : implementation class, score: 90"
UserSecurityServiceImpl,implementation,0.33257246,"classification : domain class, score: 80"
MavenWrapperDownloader,implementation,0.2952473,"classification : Implementation class, score: 90"
