class_name,class_classification,class_similarity
CurrentTransaction,domain,0.9430428
SavingsAccount,domain,0.8305931
CurrentAccount,domain,0.8240665
AccountServiceImpl,domain,0.81416214
TransactionServiceImpl,domain,0.8048072
AccountController,domain,0.8209403
TransferController,domain,0.72708833
User,domain,0.6862057
AdminController,domain,0.6482508
Recipient,domain,0.66218543
Role,domain,0.6237414
UserServiceImpl,domain,0.6548729
HomeController,domain,0.61567026
AdminServiceImpl,implementation,0.5783199
UserRole,implementation,0.56280124
Authority,implementation,0.55327034
UserController,implementation,0.5310657
RequestFilter,domain,0.60088235
SecurityConfig,implementation,0.51519966
Application,implementation,0.53755426
UserSecurityServiceImpl,implementation,0.56032324
AuthorityTest,implementation,0.47267812
ApplicationTests,implementation,0.47219628
MavenWrapperDownloader,implementation,0.50252354
