class_name,class_classification,class_similarity
SavingsAccount,"('domain',)",0.63275087
CurrentTransaction,"('domain',)",0.60867417
TransactionServiceImpl,implementation,0.595098
Application,implementation,0.5095964
AccountController,implementation,0.56964946
AccountServiceImpl,implementation,0.5609722
CurrentAccount,implementation,0.5486091
TransferController,implementation,0.53042394
ApplicationTests,implementation,0.4912485
Role,implementation,0.48726648
Recipient,implementation,0.4899009
User,implementation,0.412988
HomeController,implementation,0.4590549
AuthorityTest,implementation,0.5026371
UserRole,implementation,0.45722038
UserController,implementation,0.42825812
RequestFilter,implementation,0.4859563
Authority,implementation,0.438123
AdminServiceImpl,implementation,0.4418357
UserServiceImpl,implementation,0.41908172
UserSecurityServiceImpl,implementation,0.42081982
SecurityConfig,implementation,0.37626576
AdminController,implementation,0.4065582
MavenWrapperDownloader,implementation,0.33521083
